vocabulary,ttf,df,idf
the-bowl,158,141,3.437750562820388
manag,1434,1191,2.5051499783199063
be-great,111,109,3.5490032620257876
purchas,111,108,3.5538830266438746
patti-melt,79,65,3.7745169657285498
it-great,101,101,3.583198773968623
damn-good,159,286,3.130333768495006
dog,2824,1363,2.4471580313422194
veri-tender,132,131,3.469822015978163
foccacia,101,79,3.6893088591236203
status,56,54,3.8549130223078554
for-tabl,51,51,3.8796692056320534
write-home,186,184,3.322219294733919
brie,194,166,3.367355921026019
veri-crowd,153,152,3.404833716619938
was-moist,91,87,3.6473829701146196
broth,231,204,3.2764618041732443
and-delici,928,905,2.623249290397901
i-find,215,208,3.2695129442179165
and-famili,89,86,3.6522463410033232
everyon-rave,81,81,3.678518379040114
coleslaw,377,294,3.1172712956557644
the-point,298,287,3.1271047983648077
NUM-block,76,76,3.7067177823367587
almost-NUM,118,118,3.514547752660286
stand,1208,1099,2.5440680443502757
surround,195,191,3.305351369446624
overheard,58,58,3.824125833916549
some-fri,112,110,3.545307116465824
forward,540,523,2.863322860120456
and-rabbit,75,75,3.711807229041191
my-plate,204,194,3.298853076409707
great-varieti,55,54,3.8549130223078554
cheddar,500,421,2.959041392321094
intrigu,107,106,3.561101383649056
corn-flake,154,143,3.4313637641589874
malnati,952,656,2.7634279935629373
hot-spot,44,80,3.683947130751512
a-coupl,1507,1385,2.4313637641589874
the-toast,113,98,3.595496221825574
pretenti,245,232,3.220108088040055
surpris-good,76,76,3.7067177823367587
is-amaz,861,837,2.6627578316815743
chunki,74,73,3.7234556720351857
my-time,73,72,3.7299742856995555
of-eat,145,144,3.428134794028789
best-tapa,134,133,3.462397997898956
strip,201,182,3.326335860928751
were-pretti,423,412,2.968482948553935
dri,1174,1020,2.568201724066995
grain,79,75,3.711807229041191
rib-pappardell,60,56,3.838849090737255
credit,238,215,3.2528530309798933
the-case,185,180,3.330413773349191
--,1626,882,2.633468455579586
my-parti,179,170,3.3560258571931225
were-eat,95,94,3.6138418218760693
lunch-time,113,113,3.534026106056135
the-kimchi,62,60,3.808885867359812
mahi,212,104,3.5705429398818973
butternut,72,67,3.7611758131557314
i-finish,95,92,3.6232492903979003
we-left,383,376,3.0086001717619175
the-morn,157,149,3.413299764081252
i-tast,111,109,3.5490032620257876
would-high,162,160,3.3820170425748683
red-wine,212,197,3.292256071356476
smaller-portion,56,55,3.846955325019824
sorbet,104,92,3.6232492903979003
an-intim,68,67,3.7611758131557314
nonetheless,167,167,3.3636119798921444
medjool,177,166,3.367355921026019
stair,78,72,3.7299742856995555
of-seafood,109,102,3.578639209968072
not-big,55,55,3.846955325019824
them-NUM,92,86,3.6522463410033232
monkfish,73,59,3.816241299991783
was-spici,65,64,3.7810369386211318
ball,362,324,3.0755469613925306
napkin,207,183,3.3242824552976926
was-complet,186,182,3.326335860928751
big-fan,340,329,3.0681858617461617
was-high,78,78,3.6954816764901977
will-wait,52,51,3.8796692056320534
curri,509,399,2.9822712330395684
fulfil,60,56,3.838849090737255
the-kind,204,200,3.285557309007774
s-busi,65,62,3.795184589682424
buttercrust,85,68,3.754348335711019
veri-trendi,53,53,3.8627275283179747
is-incred,160,154,3.399673721481038
are-perfect,126,125,3.4899584794248346
mango,1128,925,2.6127838567197355
crusti,102,99,3.591064607026499
cavatelli,104,86,3.6522463410033232
outdoor,395,369,3.0170333392987803
due,632,594,2.8129133566428557
maiz,60,60,3.808885867359812
duh,61,59,3.816241299991783
bake,859,763,2.6989700043360187
korean-fri,107,88,3.6424645202421213
dug,64,61,3.802089257881733
veri-flavor,185,185,3.3201462861110542
veal-meatbal,173,158,3.387389826338729
pumpkin,116,93,3.6190933306267428
one-slice,54,54,3.8549130223078554
it-feel,123,122,3.5010592622177517
ajillo,120,119,3.5118833609788744
ll-make,64,64,3.7810369386211318
sweet-sauc,55,55,3.846955325019824
inform,361,333,3.0644579892269186
with-NUM,563,537,2.8573324964312685
hotdog,219,160,3.3820170425748683
the-duck,463,397,2.9867717342662448
commit,69,68,3.754348335711019
curd,157,122,3.5010592622177517
cure,204,188,3.311753861055754
happier,65,64,3.7810369386211318
bank,97,95,3.60959440922522
also-recommend,58,57,3.8312296938670634
seitan,205,168,3.361727836017593
los-drown,119,100,3.586587304671755
bang,102,100,3.586587304671755
nt-make,300,297,3.113943352306837
and-food,349,346,3.0453229787866576
band,311,247,3.1931245983544616
mama,223,191,3.305351369446624
was-decent,278,269,3.155336037465062
two-piec,66,72,3.7299742856995555
food--,49,247,3.1931245983544616
august,84,81,3.678518379040114
over-salt,16,51,3.8796692056320534
benefit,75,74,3.717670503002262
malt,90,78,3.6954816764901977
brisket-sandwich,179,165,3.369215857410143
with-sweet,130,130,3.4727564493172123
our-entre,127,124,3.494154594018443
highest,63,63,3.788168371141168
sober,76,71,3.73559889969818
the-crab,218,194,3.298853076409707
male,58,55,3.846955325019824
with-delici,79,79,3.6893088591236203
at-dinner,78,76,3.7067177823367587
melt-in-your-mouth,52,60,3.808885867359812
the-spot,274,271,3.1522883443830563
cappuccino,69,63,3.788168371141168
cute,675,628,2.785329835010767
friend-servic,198,198,3.290034611362518
the-tortilla,74,66,3.767897616018091
powder-sugar,60,58,3.824125833916549
servic-food,69,68,3.754348335711019
industri,138,125,3.4899584794248346
bother,398,375,3.012837224705172
to-mess,54,52,3.8715729355458786
is-hand,85,85,3.6580113966571126
was-expect,412,390,2.9956351945975497
and-sushi,68,66,3.767897616018091
your-choic,90,85,3.6580113966571126
onli-wait,58,58,3.824125833916549
stay,952,908,2.623249290397901
was-visit,94,94,3.6138418218760693
a-steal,74,72,3.7299742856995555
a-steak,66,65,3.7745169657285498
la-plancha,164,136,3.4533183400470375
an-open,113,111,3.5415792439465807
the-happi,74,66,3.767897616018091
the-uniqu,67,66,3.767897616018091
south-end,53,320,3.0791812460476247
treat,692,668,2.7558748556724915
genuin,135,132,3.4668676203541096
comfort-food,14,206,3.271841606536499
loop,258,232,3.220108088040055
veri-strong,51,51,3.8796692056320534
wood,496,441,2.9395192526186182
bare,466,448,2.9344984512435675
a-reserv,1108,1014,2.57978359661681
it-open,153,148,3.416640507338281
mapl,240,188,3.311753861055754
NUMthe,55,55,3.846955325019824
to-sit,889,835,2.6627578316815743
entranc,114,109,3.5490032620257876
a-waiter,72,65,3.7745169657285498
quinoa,66,62,3.795184589682424
their-drink,83,80,3.683947130751512
knock,277,269,3.155336037465062
the-decor,689,674,2.7558748556724915
mass,88,84,3.662757831681574
lord,55,55,3.846955325019824
is-total,105,104,3.5705429398818973
back-home,96,94,3.6138418218760693
speed,67,65,3.7745169657285498
great-choic,98,98,3.595496221825574
entir-parti,65,57,3.8312296938670634
admit,421,406,2.9777236052888476
my-sandwich,58,52,3.8715729355458786
common,150,146,3.4216039268698313
interest,1307,1195,2.5051499783199063
asparagus-risotto,62,60,3.808885867359812
is-good,1139,1073,2.5563025007672873
hefti,78,78,3.6954816764901977
a-spot,197,192,3.303196057420489
mash,350,296,3.113943352306837
bath,61,58,3.824125833916549
overhyp,60,56,3.838849090737255
middl,513,487,2.8976270912904414
breakfast-spot,83,70,3.741939077729199
it-felt,127,123,3.496929648073215
jambalaya-suprem,68,61,3.802089257881733
bake-bean,255,219,3.24551266781415
at-pomm,76,65,3.7745169657285498
stew,206,175,3.3443922736851106
frustrat,101,93,3.6190933306267428
to-begin,104,103,3.574031267727719
cool-atmospher,63,63,3.788168371141168
layout,109,106,3.561101383649056
bass,92,78,3.6954816764901977
was-slight,149,147,3.419955748489758
and-lemon,57,55,3.846955325019824
mari,359,292,3.12057393120585
step,311,288,3.1271047983648077
basi,115,113,3.534026106056135
disgust,182,169,3.357934847000454
the-drive,135,119,3.5118833609788744
mark,253,246,3.1958996524092336
base,959,898,2.633468455579586
be-full,54,54,3.8549130223078554
i-promis,76,75,3.711807229041191
are-NUM,155,153,3.401400540781544
my-drink,88,79,3.6893088591236203
trend,56,53,3.8627275283179747
mix-drink,70,67,3.7611758131557314
a-NUM-NUM,74,74,3.717670503002262
final-decid,57,57,3.8312296938670634
lost,286,273,3.1492191126553797
wait-time,419,382,3.0043213737826426
carbonara,90,73,3.7234556720351857
appet,2016,1784,2.3222192947339195
and-knew,57,57,3.8312296938670634
favorit-part,128,128,3.4800069429571505
realli-fun,59,59,3.816241299991783
work,2650,2319,2.204119982655925
lose,173,166,3.367355921026019
the-bacon,389,366,3.0211892990699383
pretti-tasti,177,175,3.3443922736851106
the-bread,884,774,2.690196080028514
wors,231,218,3.247973266361807
at-blu,85,78,3.6954816764901977
slight-sweet,56,56,3.838849090737255
a-diner,167,153,3.401400540781544
and-strong,69,69,3.7481880270062002
